"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"2228",1599856,"f","Rainier Valley",47.5567266992696,-122.286183329939,"House","Entire home/apt",6,1,2,3,125,100,0,4,348,138,"t",92
"2229",1223644,"t","Rainier Valley",47.556340920761,-122.283968900024,"Apartment","Entire home/apt",3,1,1,1,90,100,30,2,85,38,"f",96
"2230",3246706,"f","Rainier Valley",47.5635908025233,-122.296780466906,"House","Private room",2,1.5,1,1,40,95,35,1,256,18,"f",93
"2231",1305009,"f","Rainier Valley",47.5624987174881,-122.297514761067,"House","Private room",2,1,1,1,50,0,50,2,317,22,"t",98
"2232",8952253,"f","Rainier Valley",47.5539386851414,-122.285650833027,"House","Entire home/apt",6,2.5,3,3,97,0,49,1,59,2,"f",100
"2233",4041868,"f","Rainier Valley",47.5477169711332,-122.273836117263,"House","Entire home/apt",10,2,3,5,195,250,225,6,362,7,"f",71
"2234",8845310,"t","Rainier Valley",47.5468001810874,-122.278067909424,"House","Entire home/apt",4,1,2,2,100,0,35,1,303,0,"f",96
"2235",7750477,"f","Rainier Valley",47.5709572536234,-122.29906278303,"House","Entire home/apt",9,2.5,3,6,195,200,80,1,293,1,"t",100
"2236",7938941,"f","Rainier Valley",47.5714263959992,-122.298327705187,"House","Entire home/apt",4,2,2,2,150,0,0,1,364,0,"f",96
"2237",2721575,"t","Rainier Valley",47.5610209535447,-122.279445340448,"Apartment","Entire home/apt",2,1,1,1,95,100,35,2,340,77,"t",97
"2238",1738425,"t","Rainier Valley",47.5628802392283,-122.298242914541,"House","Private room",2,1.5,1,1,72,0,15,1,359,46,"f",97
"2239",2471659,"f","Rainier Valley",47.5537712008494,-122.283683957519,"House","Entire home/apt",2,1,1,1,100,100,35,1,350,80,"f",96
